# HeatAmp, HeatExp, z_reion, z, <F>, T0, gamma, kF_Mpc
9.210000000000000409e-01 3.300000000000000711e-01 8.754999999999999005e+00 2.000000000000000000e+00 8.500528957720389078e-01 9.696933728478155899e+03 1.736482329329055663e+00 1.280924096139081669e+01
9.210000000000000409e-01 3.300000000000000711e-01 8.754999999999999005e+00 3.000000000000000000e+00 6.483884158702348799e-01 1.181213791056155242e+04 1.704196429236427335e+00 1.583622896556466486e+01
2.919000000000000039e+00 -8.699999999999998845e-01 6.655000000000000249e+00 4.000000000000000000e+00 4.607661211741047591e-01 1.961925923087606134e+04 9.241789553874051322e-01 2.875277453061116972e+01
2.919000000000000039e+00 -8.699999999999998845e-01 6.655000000000000249e+00 2.000000000000000000e+00 8.676317977402322468e-01 1.526546713868217921e+04 1.071325188287678642e+00 1.685127528909623251e+01
2.919000000000000039e+00 -8.699999999999998845e-01 6.655000000000000249e+00 3.000000000000000000e+00 7.113380519473090358e-01 1.924576350366553379e+04 1.015041247408291269e+00 2.210328758379053582e+01
2.217000000000000082e+00 -3.900000000000001243e-01 6.235000000000000320e+00 4.000000000000000000e+00 4.768412077108637459e-01 1.816675894783805052e+04 1.154954854804128406e+00 2.837567145238579158e+01
2.217000000000000082e+00 -3.900000000000001243e-01 6.235000000000000320e+00 2.000000000000000000e+00 8.784573698072174475e-01 1.392815586190147769e+04 1.309085372708185258e+00 1.420515302418646542e+01
2.217000000000000082e+00 -3.900000000000001243e-01 6.235000000000000320e+00 3.000000000000000000e+00 7.183264079535065516e-01 1.760972259747673161e+04 1.243475944870905847e+00 1.865568970514275904e+01
2.163000000000000256e+00 1.410000000000000142e+00 1.253500000000000014e+01 4.000000000000000000e+00 3.483038043126406302e-01 2.328977198553558992e+04 2.313735525088706169e+00 1.161058863916621320e+01
2.163000000000000256e+00 1.410000000000000142e+00 1.253500000000000014e+01 2.000000000000000000e+00 8.989278675499321469e-01 2.126903620771393616e+04 2.343109073998674408e+00 8.550640611934875679e+00
2.163000000000000256e+00 1.410000000000000142e+00 1.253500000000000014e+01 3.000000000000000000e+00 7.036366014271097091e-01 2.485727053664349660e+04 2.334913054233006768e+00 1.023066675677274517e+01
6.510000000000000231e-01 -9.299999999999999378e-01 1.211500000000000021e+01 4.000000000000000000e+00 3.604531093004105791e-01 6.830427362731939866e+03 9.096028219784093594e-01 2.772315706393139934e+01
6.510000000000000231e-01 -9.299999999999999378e-01 1.211500000000000021e+01 2.000000000000000000e+00 8.297123889345339176e-01 6.130405154281825162e+03 1.075698723224278730e+00 2.250854670245758626e+01
6.510000000000000231e-01 -9.299999999999999378e-01 1.211500000000000021e+01 3.000000000000000000e+00 6.511028374775218452e-01 7.416122229071378570e+03 1.003324876169598090e+00 2.753259312741443310e+01
8.669999999999999929e-01 -2.700000000000000178e-01 9.175000000000000711e+00 4.000000000000000000e+00 3.439266334035863681e-01 9.437546423212488662e+03 1.254690394114448715e+00 2.543911989356509906e+01
8.669999999999999929e-01 -2.700000000000000178e-01 9.175000000000000711e+00 2.000000000000000000e+00 8.358365537361921449e-01 8.197655769051229072e+03 1.403736515543881236e+00 1.723172124232329594e+01
8.669999999999999929e-01 -2.700000000000000178e-01 9.175000000000000711e+00 3.000000000000000000e+00 6.443617584072105497e-01 1.003286984243254119e+04 1.351527091348008192e+00 2.232371583432138351e+01
1.029000000000000137e+00 2.700000000000000178e-01 1.547499999999999964e+01 4.000000000000000000e+00 3.633957801803126553e-01 1.175397284211276747e+04 1.616595640229513853e+00 1.952919326287421953e+01
1.029000000000000137e+00 2.700000000000000178e-01 1.547499999999999964e+01 2.000000000000000000e+00 8.586333146904904234e-01 1.025734504348158225e+04 1.706709914092705560e+00 1.310294141387389999e+01
1.029000000000000137e+00 2.700000000000000178e-01 1.547499999999999964e+01 3.000000000000000000e+00 6.671768082567077762e-01 1.250829699801936658e+04 1.676389559640125260e+00 1.629708123809132303e+01
5.969999999999999751e-01 1.169999999999999929e+00 1.442499999999999893e+01 4.000000000000000000e+00 2.375829935875650445e-01 9.510823318779124747e+03 2.204793240127900233e+00 1.525576960632893453e+01
5.969999999999999751e-01 1.169999999999999929e+00 1.442499999999999893e+01 2.000000000000000000e+00 8.361691133984749946e-01 8.867426944695123893e+03 2.221111798039259178e+00 1.005244625920451718e+01
5.969999999999999751e-01 1.169999999999999929e+00 1.442499999999999893e+01 3.000000000000000000e+00 5.881549500246300299e-01 1.047807746624870197e+04 2.223281055686247232e+00 1.207452554294082780e+01
5.429999999999999272e-01 -1.499999999999999112e-01 1.484500000000000064e+01 4.000000000000000000e+00 2.574113172228200686e-01 6.884264223792264602e+03 1.337752947970241468e+00 2.268706598771205307e+01
5.429999999999999272e-01 -1.499999999999999112e-01 1.484500000000000064e+01 2.000000000000000000e+00 8.075615358575298774e-01 6.276305128920100287e+03 1.473545017249342060e+00 1.902234687672285673e+01
5.429999999999999272e-01 -1.499999999999999112e-01 1.484500000000000064e+01 3.000000000000000000e+00 5.875788925310290178e-01 7.552235733286277537e+03 1.424970425585500244e+00 2.203491233891737267e+01
1.785000000000000364e+00 -3.300000000000000711e-01 1.043499999999999872e+01 4.000000000000000000e+00 4.379697329980255516e-01 1.536981883587693119e+04 1.237311480205290026e+00 2.112496514544559645e+01
1.785000000000000364e+00 -3.300000000000000711e-01 1.043499999999999872e+01 2.000000000000000000e+00 8.702229086741206654e-01 1.268696352774023580e+04 1.370099033707960379e+00 1.483495466276866104e+01
1.785000000000000364e+00 -3.300000000000000711e-01 1.043499999999999872e+01 3.000000000000000000e+00 7.054808820837182859e-01 1.581123579620835335e+04 1.320602578865214705e+00 1.825580560455462376e+01
1.461000000000000076e+00 6.299999999999998934e-01 7.915000000000000036e+00 4.000000000000000000e+00 3.801013101815310935e-01 1.647950515134008310e+04 1.813621482081005265e+00 1.710425169413761637e+01
1.461000000000000076e+00 6.299999999999998934e-01 7.915000000000000036e+00 2.000000000000000000e+00 8.782335600464920011e-01 1.409855943065258180e+04 1.903458690221976557e+00 1.077911682943760674e+01
1.461000000000000076e+00 6.299999999999998934e-01 7.915000000000000036e+00 3.000000000000000000e+00 6.872876484167653732e-01 1.719914643198759950e+04 1.878447797212562609e+00 1.262213882822984701e+01
2.433000000000000274e+00 9.300000000000001599e-01 8.964999999999999858e+00 4.000000000000000000e+00 3.702784676357969706e-01 2.394251226559972565e+04 2.003416981603250324e+00 1.301306682789248725e+01
2.433000000000000274e+00 9.300000000000001599e-01 8.964999999999999858e+00 2.000000000000000000e+00 8.924546337390094619e-01 2.046809129490313353e+04 2.065622824798506230e+00 9.305145930522856546e+00
2.433000000000000274e+00 9.300000000000001599e-01 8.964999999999999858e+00 3.000000000000000000e+00 7.046281611864401162e-01 2.482722722486013663e+04 2.049153776734914612e+00 1.084167020396389525e+01
1.568999999999999950e+00 1.469999999999999751e+00 1.106500000000000128e+01 4.000000000000000000e+00 3.133362510504312248e-01 1.938480424794062856e+04 2.369598073781363112e+00 1.175325600107561819e+01
1.568999999999999950e+00 1.469999999999999751e+00 1.106500000000000128e+01 2.000000000000000000e+00 8.872530698752989498e-01 1.774044427927865763e+04 2.385171562551366975e+00 8.532199234997163373e+00
1.568999999999999950e+00 1.469999999999999751e+00 1.106500000000000128e+01 3.000000000000000000e+00 6.758344149377022436e-01 2.083774160738199498e+04 2.384166338268702390e+00 1.013057842176074352e+01
1.298999999999999932e+00 -1.049999999999999822e+00 1.379499999999999993e+01 4.000000000000000000e+00 4.646937663881043346e-01 1.098520431748500414e+04 8.539561751091351294e-01 2.632874006795490374e+01
1.298999999999999932e+00 -1.049999999999999822e+00 1.379499999999999993e+01 2.000000000000000000e+00 8.618448152888028568e-01 9.119422181898989948e+03 1.002444054142578311e+00 2.024716186297996146e+01
1.298999999999999932e+00 -1.049999999999999822e+00 1.379499999999999993e+01 3.000000000000000000e+00 7.120283936863467389e-01 1.144227155600911465e+04 9.489360930139754124e-01 2.446512148950672128e+01
1.731000000000000316e+00 2.100000000000001865e-01 1.463499999999999979e+01 4.000000000000000000e+00 4.170892024760805006e-01 1.674682587576331207e+04 1.580092165603379062e+00 1.789257093404112808e+01
1.731000000000000316e+00 2.100000000000001865e-01 1.463499999999999979e+01 2.000000000000000000e+00 8.791117758270797777e-01 1.409579710379020253e+04 1.673853336817299642e+00 1.219842673430120783e+01
1.731000000000000316e+00 2.100000000000001865e-01 1.463499999999999979e+01 3.000000000000000000e+00 7.042264061021695776e-01 1.739346324324992020e+04 1.641525364450983959e+00 1.464746849811910678e+01
2.864999999999999769e+00 4.500000000000001776e-01 1.358500000000000085e+01 4.000000000000000000e+00 3.669018175740604848e-01 2.466564416045397593e+04 1.719625124697760743e+00 1.389074941778363126e+01
2.864999999999999769e+00 4.500000000000001776e-01 1.358500000000000085e+01 2.000000000000000000e+00 8.808068371886076386e-01 2.014184895632923508e+04 1.796908349256677750e+00 1.002501719625754895e+01
2.864999999999999769e+00 4.500000000000001776e-01 1.358500000000000085e+01 3.000000000000000000e+00 6.941685340167385032e-01 2.510467256851103957e+04 1.772422406927295357e+00 1.152677663277169273e+01
4.349999999999999978e-01 1.290000000000000036e+00 7.075000000000000178e+00 4.000000000000000000e+00 2.146836293645448812e-01 8.588817253039233037e+03 2.241309885408193647e+00 1.813620737206368005e+01
4.349999999999999978e-01 1.290000000000000036e+00 7.075000000000000178e+00 2.000000000000000000e+00 8.179404212653856865e-01 7.651543305403410159e+03 2.286507990486763120e+00 9.793364613263525698e+00
4.349999999999999978e-01 1.290000000000000036e+00 7.075000000000000178e+00 3.000000000000000000e+00 5.524593883542605610e-01 9.222341245351986800e+03 2.292269496948335927e+00 1.181927811937534223e+01
3.810000000000000053e-01 1.229999999999999982e+00 1.505499999999999972e+01 4.000000000000000000e+00 2.112650424245759717e-01 6.931324801696420764e+03 2.241335013825355826e+00 1.691537419486382277e+01
3.810000000000000053e-01 1.229999999999999982e+00 1.505499999999999972e+01 2.000000000000000000e+00 8.198227822850899793e-01 6.667770403287401678e+03 2.255880970025308407e+00 1.084233738498727284e+01
