# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 0.00e+00
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 12 19
# 0 290716 222886 115579 77873 44863 24014 11763 7766 3749 761 30 0 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
2.400   1.255943e-02   1.581139e-02   1.418541e-02   8.008227e+00   3.303208e-02   8.041259e+00   3.821947e-02   4.197018e+01   3.393029e+01   8.006860e+00
2.400   1.581139e-02   1.990536e-02   1.785837e-02   6.232793e+00  -1.746697e-02   6.215326e+00   3.843513e-02   4.737998e+01   4.113173e+01   6.265719e+00
2.400   1.990536e-02   2.505936e-02   2.248236e-02   4.623223e+00  -2.170260e-02   4.601521e+00   4.358705e-02   6.024130e+01   5.556744e+01   4.695555e+00
2.400   2.505936e-02   3.154787e-02   2.830361e-02   3.247705e+00  -7.649403e-02   3.171211e+00   5.964637e-02   9.189094e+01   8.860825e+01   3.359180e+00
2.400   3.154787e-02   3.971641e-02   3.563214e-02   2.147978e+00  -7.211279e-02   2.075865e+00   1.081670e-01   1.837080e+02   1.814910e+02   2.289128e+00
2.400   3.971641e-02   5.000000e-02   4.485821e-02   1.331465e+00  -3.386172e-01   9.928476e-01   2.964207e-01   5.408122e+02   5.396682e+02   1.482650e+00
2.400   5.000000e-02   6.294627e-02   5.647314e-02   7.713987e-01  -1.600360e+00  -8.289617e-01   1.491730e+00   2.795073e+03   2.795767e+03   9.063798e-01
2.400   6.294627e-02   7.924466e-02   7.109547e-02   4.172731e-01   6.696025e+00   7.113298e+00   1.881911e+01   3.416035e+04   3.415315e+04   5.040139e-01
2.400   7.924466e-02   9.976312e-02   8.950389e-02   2.107860e-01  -1.415498e+02  -1.413391e+02   9.964115e+02   1.670049e+06   1.670191e+06  -2.597044e-01
2.400   9.976312e-02   1.255943e-01   1.126787e-01   9.955072e-02  -3.405327e+05  -3.405326e+05   4.638469e+05   6.341317e+08   6.344724e+08  -1.741804e+02
2.600   0.000000e+00   1.000000e-03   5.000000e-04   1.223628e+01  -1.776711e-01   1.205861e+01   8.825155e-02   3.828267e+01   2.763646e+01   1.082388e+01
2.600   1.000000e-03   2.000000e-03   1.500000e-03   2.128673e+01  -1.771043e-01   2.110962e+01   1.016258e-01   4.869500e+01   2.772844e+01   2.114367e+01
2.600   2.000000e-03   3.000000e-03   2.500000e-03   2.279371e+01   1.779292e-01   2.297164e+01   1.056409e-01   5.075653e+01   2.791437e+01   2.266424e+01
2.600   3.000000e-03   4.000000e-03   3.500000e-03   2.221601e+01   5.330906e-02   2.226932e+01   1.051941e-01   5.034701e+01   2.819398e+01   2.209972e+01
2.600   4.000000e-03   5.000000e-03   4.500000e-03   2.098310e+01   1.731063e-02   2.100041e+01   1.034900e-01   4.946956e+01   2.856743e+01   2.088483e+01
2.600   5.000000e-03   6.294627e-03   5.647314e-03   1.935985e+01  -9.499796e-02   1.926485e+01   8.818253e-02   4.830448e+01   2.912456e+01   1.927492e+01
2.600   6.294627e-03   7.924466e-03   7.109547e-03   1.732582e+01   1.497081e-01   1.747553e+01   7.629778e-02   4.744636e+01   3.004188e+01   1.725478e+01
2.600   7.924466e-03   9.976312e-03   8.950389e-03   1.502447e+01   6.573515e-02   1.509021e+01   6.655317e-02   4.659264e+01   3.155428e+01   1.497262e+01
2.600   9.976312e-03   1.255943e-02   1.126787e-02   1.258929e+01  -3.845912e-02   1.255083e+01   5.926240e-02   4.662778e+01   3.410328e+01   1.256295e+01
2.600   1.255943e-02   1.581139e-02   1.418541e-02   1.015387e+01  -4.990742e-03   1.014888e+01   5.497864e-02   4.870561e+01   3.854953e+01   1.016108e+01
2.600   1.581139e-02   1.990536e-02   1.785837e-02   7.844094e+00  -1.220618e-02   7.831887e+00   5.487427e-02   5.461670e+01   4.673519e+01   7.893711e+00
2.600   1.990536e-02   2.505936e-02   2.248236e-02   5.770284e+00   1.764602e-02   5.787930e+00   6.183905e-02   6.902372e+01   6.313725e+01   5.868828e+00
2.600   2.505936e-02   3.154787e-02   2.830361e-02   4.017102e+00   6.100474e-02   4.078107e+00   8.425792e-02   1.048814e+02   1.006568e+02   4.163564e+00
2.600   3.154787e-02   3.971641e-02   3.563214e-02   2.631792e+00   3.057680e-01   2.937560e+00   1.524514e-01   2.091714e+02   2.060525e+02   2.813134e+00
2.600   3.971641e-02   5.000000e-02   4.485821e-02   1.615869e+00   1.043266e-01   1.720196e+00   4.174188e-01   6.140187e+02   6.121075e+02   1.806912e+00
2.600   5.000000e-02   6.294627e-02   5.647314e-02   9.276559e-01  -2.178357e+00  -1.250701e+00   2.100164e+00   3.165711e+03   3.166792e+03   1.097027e+00
2.600   6.294627e-02   7.924466e-02   7.109547e-02   4.976557e-01   2.266070e+01   2.315836e+01   2.649271e+01   3.864915e+04   3.862588e+04   6.174041e-01
2.600   7.924466e-02   9.976312e-02   8.950389e-02   2.496141e-01  -3.997964e+02  -3.995468e+02   1.402595e+03   1.885661e+06   1.886061e+06   1.445673e-01
2.600   9.976312e-02   1.255943e-01   1.126787e-01   1.172326e-01  -1.242486e+05  -1.242485e+05   6.529458e+05   7.163885e+08   7.165128e+08  -5.885477e+01
2.800   0.000000e+00   1.000000e-03   5.000000e-04   1.542585e+01   1.740666e-01   1.559992e+01   1.346359e-01   4.569914e+01   3.218977e+01   1.333531e+01
2.800   1.000000e-03   2.000000e-03   1.500000e-03   2.744459e+01  -5.785669e-04   2.744401e+01   1.585930e-01   5.958549e+01   3.229683e+01   2.728923e+01
2.800   2.000000e-03   3.000000e-03   2.500000e-03   2.945558e+01  -2.440646e-01   2.921152e+01   1.654017e-01   6.156026e+01   3.251330e+01   2.929102e+01
2.800   3.000000e-03   4.000000e-03   3.500000e-03   2.869732e+01  -9.983440e-02   2.859749e+01   1.645470e-01   6.128643e+01   3.283899e+01   2.854727e+01
2.800   4.000000e-03   5.000000e-03   4.500000e-03   2.706926e+01   9.517503e-02   2.716443e+01   1.615064e-01   6.031104e+01   3.327353e+01   2.694234e+01
2.800   5.000000e-03   6.294627e-03   5.647314e-03   2.492621e+01  -1.673074e-01   2.475890e+01   1.371206e-01   5.857119e+01   3.392247e+01   2.481603e+01
2.800   6.294627e-03   7.924466e-03   7.109547e-03   2.224531e+01  -1.889590e-01   2.205635e+01   1.180867e-01   5.695391e+01   3.499090e+01   2.215196e+01
2.800   7.924466e-03   9.976312e-03   8.950389e-03   1.922089e+01  -1.926616e-01   1.902822e+01   1.024260e-01   5.571142e+01   3.675271e+01   1.915137e+01
2.800   9.976312e-03   1.255943e-02   1.126787e-02   1.603388e+01  -8.583666e-02   1.594804e+01   9.062461e-02   5.563324e+01   3.972253e+01   1.599655e+01
2.800   1.255943e-02   1.581139e-02   1.418541e-02   1.286382e+01  -2.632631e-02   1.283749e+01   8.350923e-02   5.774636e+01   4.490338e+01   1.286930e+01
2.800   1.581139e-02   1.990536e-02   1.785837e-02   9.877254e+00   3.867930e-02   9.915933e+00   8.281490e-02   6.441771e+01   5.444196e+01   9.937079e+00
2.800   1.990536e-02   2.505936e-02   2.248236e-02   7.216554e+00  -3.851021e-02   7.178044e+00   9.282651e-02   8.085490e+01   7.355462e+01   7.338794e+00
2.800   2.505936e-02   3.154787e-02   2.830361e-02   4.986817e+00  -1.446098e-01   4.842207e+00   1.260169e-01   1.222995e+02   1.172748e+02   5.169282e+00
2.800   3.154787e-02   3.971641e-02   3.563214e-02   3.241696e+00  -6.131861e-02   3.180378e+00   2.275716e-01   2.435106e+02   2.401053e+02   3.466625e+00
2.800   3.971641e-02   5.000000e-02   4.485821e-02   1.974755e+00  -1.381275e-01   1.836627e+00   6.226681e-01   7.155812e+02   7.135097e+02   2.209661e+00
2.800   5.000000e-02   6.294627e-02   5.647314e-02   1.125223e+00   4.250417e+00   5.375639e+00   3.132430e+00   3.699262e+03   3.693681e+03   1.330911e+00
2.800   6.294627e-02   7.924466e-02   7.109547e-02   5.996036e-01  -1.432540e+01  -1.372579e+01   3.951605e+01   4.507396e+04   4.508755e+04   7.385774e-01
2.800   7.924466e-02   9.976312e-02   8.950389e-02   2.990754e-01  -5.878547e+02  -5.875556e+02   2.092259e+03   2.202698e+06   2.203286e+06  -1.438111e-02
2.800   9.976312e-02   1.255943e-01   1.126787e-01   1.398866e-01   2.144468e+06   2.144468e+06   9.739817e+05   8.391536e+08   8.370092e+08  -1.067820e+02
3.000   0.000000e+00   1.000000e-03   5.000000e-04   1.944468e+01  -7.708039e-02   1.936760e+01   2.213639e-01   5.507144e+01   3.860630e+01   1.654222e+01
3.000   1.000000e-03   2.000000e-03   1.500000e-03   3.520004e+01  -4.360915e-01   3.476395e+01   2.657056e-01   7.331483e+01   3.873536e+01   3.501556e+01
3.000   2.000000e-03   3.000000e-03   2.500000e-03   3.784564e+01   6.112642e-01   3.845691e+01   2.778060e-01   7.725179e+01   3.899531e+01   3.764521e+01
3.000   3.000000e-03   4.000000e-03   3.500000e-03   3.686015e+01  -2.427175e-01   3.661744e+01   2.761905e-01   7.582130e+01   3.938609e+01   3.667793e+01
3.000   4.000000e-03   5.000000e-03   4.500000e-03   3.473469e+01  -1.221934e-01   3.461250e+01   2.706354e-01   7.436659e+01   3.990740e+01   3.458138e+01
3.000   5.000000e-03   6.294627e-03   5.647314e-03   3.193736e+01   1.276750e-01   3.206503e+01   2.291654e-01   7.261678e+01   4.068521e+01   3.180390e+01
3.000   6.294627e-03   7.924466e-03   7.109547e-03   2.844225e+01   1.346029e-01   2.857685e+01   1.966814e-01   7.042993e+01   4.196691e+01   2.832841e+01
3.000   7.924466e-03   9.976312e-03   8.950389e-03   2.450775e+01   1.752548e-01   2.468300e+01   1.698970e-01   6.867829e+01   4.408056e+01   2.442248e+01
3.000   9.976312e-03   1.255943e-02   1.126787e-02   2.037455e+01   1.881730e-01   2.056272e+01   1.496253e-01   6.816061e+01   4.764364e+01   2.032880e+01
3.000   1.255943e-02   1.581139e-02   1.418541e-02   1.627998e+01  -1.470908e-01   1.613289e+01   1.372082e-01   7.000026e+01   5.385958e+01   1.628777e+01
3.000   1.581139e-02   1.990536e-02   1.785837e-02   1.244166e+01  -1.935395e-01   1.224812e+01   1.354418e-01   7.762802e+01   6.530353e+01   1.251803e+01
3.000   1.990536e-02   2.505936e-02   2.248236e-02   9.042200e+00  -6.195764e-03   9.036004e+00   1.512436e-01   9.742318e+01   8.823205e+01   9.197326e+00
3.000   2.505936e-02   3.154787e-02   2.830361e-02   6.212315e+00   7.082167e-02   6.283137e+00   2.048042e-01   1.471875e+02   1.406740e+02   6.442650e+00
3.000   3.154787e-02   3.971641e-02   3.563214e-02   4.013680e+00  -9.700096e-01   3.043670e+00   3.693796e-01   2.913236e+02   2.879980e+02   4.295670e+00
3.000   3.971641e-02   5.000000e-02   4.485821e-02   2.429907e+00  -2.475347e-01   2.182373e+00   1.010225e+00   8.582778e+02   8.558033e+02   2.722090e+00
3.000   5.000000e-02   6.294627e-02   5.647314e-02   1.376360e+00  -6.079438e+00  -4.703078e+00   5.081746e+00   4.425949e+03   4.430399e+03   1.630184e+00
3.000   6.294627e-02   7.924466e-02   7.109547e-02   7.295243e-01  -3.735269e+01  -3.662317e+01   6.410979e+01   5.404669e+04   5.408314e+04   9.005611e-01
3.000   7.924466e-02   9.976312e-02   8.950389e-02   3.622795e-01  -2.099679e+03  -2.099317e+03   3.394679e+03   2.640894e+06   2.642993e+06   2.497539e-02
3.000   9.976312e-02   1.255943e-01   1.126787e-01   1.689157e-01  -2.401411e+06  -2.401411e+06   1.580232e+06   1.001631e+09   1.004033e+09  -1.626682e+02
3.200   0.000000e+00   1.000000e-03   5.000000e-04   2.451382e+01   1.546910e-01   2.466851e+01   3.764615e-01   6.851672e+01   4.785376e+01   2.050826e+01
3.200   1.000000e-03   2.000000e-03   1.500000e-03   4.491354e+01   2.168669e-01   4.513040e+01   4.569704e-01   9.299079e+01   4.801421e+01   4.475971e+01
3.200   2.000000e-03   3.000000e-03   2.500000e-03   4.834707e+01  -4.790705e-01   4.786800e+01   4.785024e-01   9.596652e+01   4.833635e+01   4.810924e+01
3.200   3.000000e-03   4.000000e-03   3.500000e-03   4.707837e+01  -6.018322e-01   4.647654e+01   4.755818e-01   9.507630e+01   4.882046e+01   4.685767e+01
3.200   4.000000e-03   5.000000e-03   4.500000e-03   4.433386e+01  -1.159296e-01   4.421793e+01   4.655981e-01   9.349858e+01   4.946566e+01   4.414885e+01
3.200   5.000000e-03   6.294627e-03   5.647314e-03   4.072217e+01  -1.258762e+00   3.946341e+01   3.934913e-01   8.973244e+01   5.042997e+01   4.056123e+01
3.200   6.294627e-03   7.924466e-03   7.109547e-03   3.621324e+01  -1.494377e-01   3.606381e+01   3.369688e-01   8.794307e+01   5.201791e+01   3.607460e+01
