# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 1.00e+02
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    8.385172e-02
# n      =   -2.655483e+00
# alpha  =   -1.552019e-01
# B      =    3.644610e+00
# beta   =    3.156565e-01
# lambda =    4.270131e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 15 21
# 0 168 175 172 144 152 134 126 90 103 100 81 53 32 9 5 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
2.600   8.800000e-03   1.107854e-02   9.939272e-03   1.392460e+01   2.930574e-01   1.421766e+01   8.167400e-01   1.418090e+01   4.757288e-02   1.384027e+01
2.600   1.107854e-02   1.394706e-02   1.251280e-02   1.147304e+01  -3.345317e-01   1.113851e+01   5.926606e-01   1.110925e+01   4.628764e-02   1.139749e+01
2.600   1.394706e-02   1.755831e-02   1.575268e-02   9.079934e+00  -1.615920e-01   8.918342e+00   4.138935e-01   8.886196e+00   4.438403e-02   9.003404e+00
2.600   1.755831e-02   2.210460e-02   1.983145e-02   6.865156e+00   2.288978e-02   6.888046e+00   2.766562e-01   6.854068e+00   4.195189e-02   6.789227e+00
2.600   2.210460e-02   2.782804e-02   2.496632e-02   4.928758e+00  -3.017563e-01   4.627001e+00   1.758795e-01   4.593897e+00   3.924708e-02   4.856406e+00
2.600   2.782804e-02   3.503343e-02   3.143074e-02   3.339798e+00  -1.197070e-01   3.220091e+00   1.057203e-01   3.191690e+00   3.642202e-02   3.274975e+00
2.600   3.503343e-02   4.410448e-02   3.956895e-02   2.125237e+00  -1.637780e-02   2.108859e+00   5.982270e-02   2.088498e+00   3.351120e-02   2.071365e+00
2.600   4.410448e-02   5.552425e-02   4.981436e-02   1.265780e+00  -5.626872e-02   1.209512e+00   3.181241e-02   1.199134e+00   3.039333e-02   1.225009e+00
2.600   5.552425e-02   6.990088e-02   6.271257e-02   7.045930e-01   6.791537e-03   7.113845e-01   1.592411e-02   7.103592e-01   2.694185e-02   6.766258e-01
2.600   6.990088e-02   8.800000e-02   7.895044e-02   3.665530e-01   6.619407e-03   3.731724e-01   7.544152e-03   3.788354e-01   2.297264e-02   3.492434e-01
2.600   8.800000e-02   1.107854e-01   9.939272e-02   1.783899e-01  -3.803708e-03   1.745862e-01   3.415675e-03   1.832499e-01   1.833610e-02   1.687175e-01
2.600   1.107854e-01   1.394706e-01   1.251280e-01   8.137909e-02   4.012725e-04   8.178036e-02   1.499830e-03   9.060604e-02   1.366152e-02   7.654324e-02
2.600   1.394706e-01   1.755831e-01   1.575268e-01   3.493082e-02  -1.881639e-04   3.474266e-02   6.508988e-04   4.200848e-02   9.432603e-03   3.276404e-02
2.600   1.755831e-01   2.210460e-01   1.983145e-01   1.419568e-02   1.853394e-04   1.438102e-02   2.849623e-04   1.942561e-02   5.918945e-03   1.332133e-02
2.600   2.210460e-01   2.782804e-01   2.496632e-01   5.508380e-03   1.925015e-04   5.700881e-03   1.287154e-04   8.779769e-03   3.396033e-03   5.191234e-03
2.600   2.782804e-01   3.503343e-01   3.143074e-01   2.059947e-03   5.495628e-05   2.114903e-03   6.224134e-05   3.927615e-03   1.906196e-03   1.966462e-03
