# This version is build by the following options:
# Fisher optimization: ON
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargOrder: 1
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 14 42
# 106 258253 206234 106186 72391 41529 22157 11277 7196 8325 4459 59 0 0 0 0
z k1 k2 kc Pfid ThetaP Pest ErrorP d b t
2.600 5.50000e-03 6.00000e-03 5.75000e-03 1.92132e+01 -3.76969e-02 1.91756e+01 9.17493e-02 -3.76452e-07 1.03706e-04 -2.46851e-05
2.600 6.00000e-03 6.50000e-03 6.25000e-03 1.85053e+01 9.30070e-02 1.85983e+01 8.93521e-02 -3.78848e-07 7.24423e-05 -6.86689e-06
2.600 6.50000e-03 7.00000e-03 6.75000e-03 1.78122e+01 -9.37247e-02 1.77185e+01 8.70115e-02 -3.81261e-07 -4.81195e-05 2.25939e-05
2.600 7.00000e-03 7.50000e-03 7.25000e-03 1.71388e+01 -1.81920e-01 1.69569e+01 8.47454e-02 -3.83690e-07 -1.04949e-04 2.53124e-05
2.600 7.50000e-03 8.00000e-03 7.75000e-03 1.64880e+01 -4.51676e-03 1.64834e+01 8.25647e-02 -3.86136e-07 -2.99907e-05 -5.20388e-06
2.600 8.00000e-03 8.50000e-03 8.25000e-03 1.58611e+01 -1.00322e-01 1.57608e+01 8.04761e-02 -3.88599e-07 7.76563e-05 -3.14706e-05
2.600 8.50000e-03 9.00000e-03 8.75000e-03 1.52589e+01 -8.84069e-02 1.51705e+01 7.84827e-02 -3.91079e-07 8.36521e-05 -1.85390e-05
2.600 9.00000e-03 9.50000e-03 9.25000e-03 1.46813e+01 -5.32178e-02 1.46281e+01 7.65781e-02 -3.93576e-07 -1.22515e-05 1.92101e-05
2.600 9.50000e-03 1.00000e-02 9.75000e-03 1.41279e+01 -5.89134e-02 1.40690e+01 7.44534e-02 -3.96091e-07 -8.50074e-05 3.39891e-05
2.600 1.00000e-02 1.12202e-02 1.06101e-02 1.32308e+01 -3.42096e-02 1.31966e+01 4.33778e-02 -3.98622e-07 -4.86324e-05 5.71103e-06
2.600 1.12202e-02 1.25892e-02 1.19047e-02 1.20029e+01 -5.71670e-02 1.19457e+01 3.85238e-02 -4.01172e-07 4.14881e-05 -3.06182e-05
2.600 1.25892e-02 1.41254e-02 1.33573e-02 1.07828e+01 -5.02963e-02 1.07325e+01 3.42772e-02 -4.03738e-07 7.09794e-05 -2.86794e-05
2.600 1.41254e-02 1.58489e-02 1.49871e-02 9.58646e+00 -1.06613e-01 9.47984e+00 3.05788e-02 -4.06323e-07 1.30113e-05 9.52486e-06
2.600 1.58489e-02 1.77828e-02 1.68159e-02 8.42880e+00 -1.04447e-01 8.32435e+00 2.74443e-02 -4.08925e-07 -5.04533e-05 3.56718e-05
